PAGE #,Item #,Description ,List Price ,Comments 
25,B366167,COMBO STD ALM RD LEGS BLK 2XR, $	220.00 ,
25,B366168,"ALUM STD BABY 3XR,ST TOP RSR", $	222.00 ,
25,B369765,"STD COMBO 3XR ALM,ST TOP RSR", $	443.00 ,
26,H386021,"STD,JUNIOR,LOWBOY,2XR,", $	374.00 ,
26,H386022,"STD,JUNIOR,2XR,H-WOOD", $	401.00 ,
26,429051,JR RISER + POP-UP HSG, $	212.00 ,
27,H386026,"STD,SENIOR,LOW BOY,ST", $	446.00 ,
27,H386027,"STD,SENIOR,H-WOOD", $	431.00 ,
27,H386033,"STD,JUNIOR,3XR,H-WOOD", $	436.00 ,
28,H377573,"STD,OH,MED,ROLR,H-WOOD", $	499.00 ,Description in catalog of Low Boy Junior is incorrect 
28,H377574,"STD,OH,HIHI,ROLR.,H-WOOD", $	528.00 ,Part #H377547 in the catalog is incorrect
28,H377577,"STD,OH,HIHI,ROLR,RML,H-WOOD", $	573.00 ,
29,377575,"STD,OH,HIHI,WIDE BASE RML", $	541.00 ,Part #H377574 in the catalog is incorrect 
29,369770,"STD COMBO/OH,SKY-HI W 4.5""GH", $	455.00 ,
30,366068,"WHEEL ADAPTOR, SET,COMBO", $	261.00 ,
30,377585,MINI MOMBO COMBO, $	599.00 ,Fits #377585 
31,377579,"WHL ADAPT,MOMCOM,SET,OLD STYLE", $	240.00 ,Fits old Style Stand #377578
31,377584,"WHL ADAPT HLWOOD MOM COMBO SET, NEW STYLE ", $	240.00 ,Fits old Style Stand #377581 and new style stand #377591
31,377591,MOMBO COMBO NEW STYLE, $	631.00 ,
31,377578-40,GUY ROPE SAFETY SET(3PCS), $	261.00 ,
32,BH-30,BALL HEAD BH-30, $	183.00 ,
32,B427802,"BOOM,MINI MATTH,BLACK", $	209.00 ,
32,6049/100,"6""PUMP SUCTION CUP W/3/8-16 SC", $	131.00 ,
32,249566-1,VR AUGER SPIKE, $	50.00 ,
33,249566K,"KIT STAND, VRIG 30 ", $	897.00 ,Maximum allowable discount 30% 
33,249567K,"KIT STAND, VRIG 75 "," $	1,315.00 ",Maximum allowable discount 30% 
34,249562,MONITOR STAND II, $	485.00 ,
34,249564,STAND SLIDER MINI, $	301.00 ,Maximum allowable discount 35%
35,249563,SLIDER STD WHEEL SET (3), $	261.00 ,Fits stand #246561
35,249561,STAND SLIDER, $	360.00 ,Maximum allowable discount 35%
36,521000,LOBOY - SINGLE RISER VATOR III," $	3,122.00 ",Maximum allowable discount 35% 
36,521001,LOW BOY CRANK III DBL RSR," $	4,162.00 ",Maximum allowable discount 35% 
36,521002,MIDI VATOR III," $	5,723.00 ",Maximum allowable discount 35% Crates 18 or 19 are required when ordering this product 
,521002-18,MIDI VATOR SINGLE CRATE , $	245.00 ,No allowable discount on this item.  Required when ordering #521002 
,521002-19,MIDI VATOR DOUBLE CRATE , $	345.00 ,No allowable discount on this item.  Required when ordering #521002 
37,521003,SUPER VATOR III," $	6,555.00 ",Maximum allowable discount 35% Crates 16 or 17 are required when ordering this product 
,521003-16,SUPER VATOR SINGLE CRATE , $	250.00 ,No allowable discount on this item.  Required when ordering #521003 
,521003-17,SUPER VATOR DOUBLE CRATE, $	375.00 ,No allowable discount on this item.  Required when ordering #521003 
37,521004,CRANK-O- VATOR III," $	4,682.00 ","Maximum allowable discount 35%, Carton below is required below when ordering this product  "
,521004-Crate,CRANK-O- VATOR SINGLE CARTON , $	50.00 ,No allowable discount on this item.  Required when ordering #521004 
38,B377705,MINIVATOR II, $	828.00 ,Maximum allowable discount 35% 
38,B377706,MINIVATOR WHEELS SET (3), $	151.00 ,Maximum allowable discount 35% 
39,249570,PANEL STAND,,"new product, price to be advised "
40,999042,MAGIC STD KIT W/ RUNWAY BASE, $	969.00 ,
40,388214,"MAGIC STD,40'',G2N", $	527.00 ,
40,388200,"STD,BABY RUNWAY,W/ BASE KIT", $	500.00 ,
40,388201,JR. RUNWAY BASE ONLY, $	410.00 ,
41,420110,"MATTHELLINI,2'',END JAW,2''PIN", $	72.00 ,
41,420210,"MATTHELLINI,6'',END JAW,2", $	56.00 ,
41,420100,"MATTHELLINI,2'',CENTER JAW", $	72.00 ,
41,420101,"MATTHELLINI,3'',CENTER JAW", $	56.00 ,
41,420113,EXTENDALLINI, $	27.00 ,
41,420211,MINI MATTHELINI 3/8-16 MALE PI, $	56.00 ,
41,420112-S15,"MINI MATTHELLIINI,SATIN BLACK", $	55.00 ,
42,350604,MICRO-GRIP HEAD, $	44.00 ,
42,350584,"MINIGRIP,HEAD", $	30.00 ,
42,350580,"GRIPHEAD,HOLLYWOOD, 2.5''", $	41.00 ,
42,B350580,"GRIPHEAD,HOLLYWD,2.5'',BLK.", $	41.00 ,
42,429614,"MATTH GAG,1X", $	41.00 ,
42,429642,"MATTH GAG,2X", $	86.00 ,
42,349581,"GRIPHEAD,4.5'',MAGIC", $	119.00 ,
43,420114,MQ MOUNT, $	69.00 ,
43,388210,"MAGIC FINGER,5/8 REC", $	100.00 ,
43,388211,"GOBO ARM,W/MAGIC FINGER", $	140.00 ,
43,680011,BROKEN ARM ALM, $	235.00 ,
44,541004,SUPER MAFER WITH PIN, $	46.00 ,
44,B541004,"SUPER MAFER,BLACK WITH PIN", $	46.00 ,
44,540004,SUPER MAFER, $	37.00 ,
44,B540004,"SUPER MAFER,BLACK", $	37.00 ,
44,540011,SUPER MAFER 2X, $	59.00 ,
44,209636,"GRIP HEAD,2-1/2'',RIGHT ANGLE", $	53.00 ,
44,540015,"GRIP HEAD,2-1/2'',STEM HEAD", $	69.00 ,
44,209639,"ARM,OFFSET,SNAP-IN", $	41.00 ,
44,B209642,SWIVEL J-HOOK, $	19.00 ,
45,42626-11,INFINITY MAFER CHEESE PLATE ADAPTER, $	50.00 ,
45,209638,"MOUNTING PLATE ,4X4,SNAP-IN", $	33.00 ,
45,209641,RIGHT ANGLE SNAP-IN, $	26.00 ,
45,18069-22,"SNAP-IN PIN,W/1/4-20 THREAD", $	19.00 ,
45,209653,SNAP-IN PIN W/3/8-16 THREAD, $	19.00 ,
45,209635,SNAP-IN WITH SWIVEL, $	13.00 ,
45,429493,"ADAPTER,SNAP-IN TVMP", $	19.00 ,
45,209640,"SNAP-IN,WELD-ON", $	8.00 ,
45,209637,"SNAP-IN PIN,1/2"" DIA.", $	19.00 ,
45,209633,"SNAP-IN PIN,3/8"" DIA.", $	13.00 ,
45,209632,"SNAP-IN PIN,ST,.5/8", $	11.00 ,
46,425166,"MY WAY 12"" PIN ", $	20.00 ,
46,425165,"MY WAY 6"" PIN ", $	18.00 ,
46,425164,"MY WAY 3"" PIN ", $	16.00 ,
46,425156,MY WAY 90 DEGREE PIN , $	20.00 ,
46,429647,MY WAY 1/4-20  ADAPTER, $	21.00 ,
46,429651,MY WAY 3/8-16  ADAPTER , $	21.00 ,
46,429635,MY WAY INBETWEENIE ADAPTER, $	21.00 ,
46,15033-15,MY WAY TO INFINITY ADAPTER, $	39.00 ,
46,429636,MY WAY JUNIOR RECEIVER, $	52.00 ,
46,429640,"MY WAY JUNIOR RECEIVR, SPINNER BASE", $	68.00 ,
46,429638,MY WAY JUNIOR PIN , $	29.00 ,
46,429645,MY WAY  BABY RECEIVER , $	39.00 ,
47,420115,"MY WAY MATTHELLINI,2"", CENTER JAW", $	96.00 ,
47,420118,"MY WAY MATTHELLINI,3"", CENTER JAW", $	96.00 ,
47,420120,"MY WAY MATTHELINNI,6"",END JAW W/ RECEIVER ", $	90.00 ,
47,420116,"MY WAY MATTHELINNI,2"",END JAW W/ RECEIVER ", $	90.00 ,
47,429035,MY WAY CHAIN VICE GRIP , $	140.00 ,
47,429644,MY WAY 45 ADAPTER, $	43.00 ,
47,429643,MY WAY 90 ADAPTER, $	47.00 ,
47,429615,MY WAY PIPE CLAMP , $	83.00 ,
47,429637,MY WAY GRID CLAMP , $	61.00 ,
47,429634,MY WAY NAIL ON PLATE , $	47.00 ,
48,429581,BABY DOUBLE HEADER, $	53.00 ,
48,429580,BABY TRIPLE HEADER, $	72.00 ,
48,429617,JR TRIPLE HEADER, $	177.00 ,
48,429610,MINI BABY DOUBLE HEADER, $	89.00 ,
48,426019,JUNIOR STAND EXTENSION, $	81.00 ,
48,426499,EXTENDABLE BABY STD EXTENSION, $	41.00 ,
48,426018,"EXTENSION,24'' BABY STAND", $	44.00 ,
48,426017,"EXTENSION,18'' BABY STAND", $	44.00 ,
48,426016,"EXTENSION,12'' BABY STAND", $	38.00 ,
48,426015,"EXTENSION,6'' BABY STAND", $	38.00 ,
49,429641,"TREE BRANCH HOLDER,3''", $	89.00 ,
49,B429587,"GRIP,GAFFER,5/8''PIN", $	42.00 ,
49,439013,"C-CLAMP, SPEED-C", $	188.00 ,
49,B429500,AFLAC CLAMP, $	34.00 ,
49,429039,"CHAIN VICE GRIP W/2 5/8"" PINS", $	92.00 ,
49,429038,"VICE GRIP W/ 2 5/8"" PINS", $	50.00 ,
50,429682,MEAT AXE, $	258.00 ,
50,429683,MINI MEAT AXE, $	194.00 ,
50,429422,STUDIO OVERHEAD GRIP ARM , $	136.00 ,Price of $293.00 in the catalog is incorrect
50,429052,"BAZOOKA,DOUBLE RISER", $	293.00 ,Price of $196.00 in the catalog is incorrect
51,429629,JK CLAMP, $	160.00 ,
51,429618,BABY PIPE CLAMP, $	44.00 ,
51,429619,JUNIOR PIPE CLAMP, $	69.00 ,
51,425160,SWIVEL GRID CLAMP, $	41.00 ,Price of $67.00 in the catalog is incorrect
51,425159,RIGHT ANGLE GRID CLAMP, $	34.00 ,Price of $69.00 in the catalog is incorrect
51,425158,JUNIOR GRID CLAMP, $	67.00 ,
51,425151,JR GRID CLAMP T STYLE CENTERED, $	71.00 ,
51,429620,BIG BEN CLAMP, $	72.00 ,Price of $44.00 in the catalog is incorrect
51,415157,BABY GRID CLAMP, $	61.00 ,
52,429676,"HEAVY DUTY HANGER,TELE,1X,@3'", $	194.00 ,
52,429671,"HEAVY DUTY HANGER,TELE,1X,@4'", $	199.00 ,
52,429672,"HEAVY DUTY HANGER, TELE 1X6'", $	218.00 ,
52,429673,"HEAVY DUTY HANGER, TELE 1X8'", $	230.00 ,
52,429677,"HEAVY DUTY HANGER,TELE,2X 3-6'", $	265.00 ,
52,429674,"HEAVY DUTY HANGER, TELE 2X 4-8'", $	293.00 ,
52,429675,"HEAVY DUTY HANGER, TELE 2X 5-10'", $	311.00 ,
52,429691,"HEAVY DUTY HANGER, TELE 3X 2-6'", $	246.00 ,
52,B429720,"HANGER,LIGHT DUTY,1' - 2 ' W/ PIPE CLAMP", $	125.00 ,
52,B429740,"HANGER,LIGHT DUTY,1' - 2 ' W/ PIPE CLAMP & STIRRUP", $	152.00 ,
52,B429726,"HANGER,LIGHT DUTY,1.5'- 3 ' W/ PIPE CLAMP", $	130.00 ,
52,B429746,"HANGER,LIGHT DUTY,1.5'- 3 ' W/ PIPE CLAMP & STIRRUP", $	159.00 ,
52,B429722,"HANGER,LIGHT DUTY,2'-4 ' W/ PIPE CLAMP", $	141.00 ,
52,B429742,"HANGER,LIGHT DUTY,2'-4 ' W/ PIPE CLAMP & STIRRUP", $	170.00 ,
52,B429724,"HANGER,LIGHT DUTY,3'-6 ' W/ PIPE CLAMP", $	147.00 ,
52,B429744,"HANGER,LIGHT DUTY,3'-6 ' W/ PIPE CLAMP & STIRRUP", $	176.00 ,
