Item Number	Item Name	Buy	Sell	Inventory	Asset Acct	Income Acct	Expense/COS Acct	Item Picture	Description	Use Desc. On Sale	Custom List 1	Custom List 2	Custom List 3	Custom Field 1	Custom Field 2	Custom Field 3	Primary Vendor	Vendor Item Number	Tax When Bought	Buy Unit Measure	# Items/Buy Unit	Reorder Quantity	Minimum Level	Selling Price	Sell Unit Measure	Tax When Sold	# Items/Sell Unit	Quantity Break 1	Quantity Break 2	Quantity Break 3	Quantity Break 4	Quantity Break 5	Price Level A, Qty Break 1	Price Level B, Qty Break 1	Price Level C, Qty Break 1	Price Level D, Qty Break 1	Price Level E, Qty Break 1	Price Level F, Qty Break 1	Price Level A, Qty Break 2	Price Level B, Qty Break 2	Price Level C, Qty Break 2	Price Level D, Qty Break 2	Price Level E, Qty Break 2	Price Level F, Qty Break 2	Price Level A, Qty Break 3	Price Level B, Qty Break 3	Price Level C, Qty Break 3	Price Level D, Qty Break 3	Price Level E, Qty Break 3	Price Level F, Qty Break 3	Price Level A, Qty Break 4	Price Level B, Qty Break 4	Price Level C, Qty Break 4	Price Level D, Qty Break 4	Price Level E, Qty Break 4	Price Level F, Qty Break 4	Price Level A, Qty Break 5	Price Level B, Qty Break 5	Price Level C, Qty Break 5	Price Level D, Qty Break 5	Price Level E, Qty Break 5	Price Level F, Qty Break 5	Inactive Item	Standard Cost	Default Ship/Sell Location	Default Recvd/Auto Location	Brand	Weight	Unit of Weight	Web Description	Sold in Web Store	Web Store Price	Item Record ID	Track Serial Number	Warranty Applies when Sold	Warranty Period	Unit of Warranty Period	Kit Item
Gel L024/C	Lee 024 Scarlet Cut		S			45250		Gel L024.jpg																$9.00	Foot	T	1	0	0	0	0	0	9	8.5	8.5	8.5	8.5	8.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N				Lee	0.5	Pound	Great for pantomimes, ballroom sets and fire effects.	N	8.50	5795	N	N	0	days	
Gel L024/R	Lee 024 Scarlet Roll	B	S			45250	55250	Gel L024.jpg									Lee Filters			Roll	1	0		$120.00	Roll	T	1	0	0	0	0	0	120	105	105	105	105	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$0.00			Lee	3	Pound	Great for pantomimes, ballroom sets and fire effects.	N	105.00	5065	N	N	0	days	
Gel L024/W	Lee 024 Scarlet Roll 4'	B	S			45250	55250	Gel L024.jpg									Lee Filters	024R		Roll	1	0		$120.00	Roll	T	1	0	0	0	0	0	120	105	105	105	105	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$78.00			Lee	3	Pound	Great for pantomimes, ballroom sets and fire effects.	N	105.00	5235	N	N	0	days	
Gel L075/S	Lee 075 Evening Blue Sheet	B	S			45250	55250	Gel L075.jpg									John S. Hyatt & Associates Inc	LEE 075		Each	1	0		$9.00	Each	T	1	0	0	0	0	0	9	9	9	9	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$0.00				0	Pound	Good for night scenes and romantic moonlight.	N	9.00	6993	N	N	0	days	
Gel L075/T8-48	Lee 075 Evening Blue 4' T8 Sleeve (Special Order)	B	S			45250	55250	Gel L075.jpg									Lee Filters	075-T8-48		Each	1	0		$14.95	Each	T	1	0	0	0	0	0	14.95	14.95	14.95	14.95	14.95	14.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$11.2125				0	Pound	Good for night scenes and romantic moonlight.	N	14.95	8112	N	N	0	days	
Gel L079/R	Lee 079 Just Blue (Special Order)	B	S			45250	55250	Gel L079.jpg									Lee Filters	079R		Roll	1	0		$120.00	Roll	T	1	0	0	0	0	0	120	120	120	120	120	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$85.00				0	Pound	A good colour mixing blue. Great for cyclorama lighting.	N	120.00	7755	N	N	0	days	
Gel L100/S (X)	(X) Lee 100 Spring Yellow Sheet	B	S			45250	55250	Gel L100.jpg									Lee Filters	100s		Sheet	1	0		$9.00	Sheet	T	1	0	0	0	0	0	9	8.5	8.5	8.5	8.5	8.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	$3.75			Lee	2	Ounce	A sunlight wash - use with gobos, disco and dark skin tones.	N	8.50	4907	N	N	0	days	
Gel L100/S Inv	Lee 100 Spring Yellow Sheet	B	S	I	15105	45250	55250	Gel L100.jpg									Lee Filters	100S		Sheet	1	4	2	$9.00	Sheet	T	1	0	0	0	0	0	9	9	9	9	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$3.75			Lee	2	Ounce	A sunlight wash - use with gobos, disco and dark skin tones.	N	9.00	11289	N	N	0	days	
Gel L101/S	Lee 101 Yellow Sheet	B	S			45250	55250	Gel L101.jpg									Lee Filters	101/S		Sheet	1	0		$9.00	Sheet	T	1	0	0	0	0	0	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$3.88			Lee	2	Ounce	Sunlight and window effect - pleasant in acting areas.	N	9.00	3520	N	N	0	days	
Gel L102/C	Lee 102 Light Amber Cut		S			45250		Gel L102.jpg																$9.00	Foot	T	1	0	0	0	0	0	9	8.5	8.5	8.5	8.5	8.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N				Lee	0.5	Pound	A warm yellow colour. Great for candlelight or warm bright sunlight effects.	N	8.50	5796	N	N	0	days	
